term,estimate,std.error,statistic,p.value
(Intercept),5.244162804773611,0.11945815340051244,43.899580359251686,0
log_hotel_beds,0.676152670570341,0.019039164963657255,35.513777618976945,2.2161818692490636e-256
log_non_hotel_beds,0.3499706451209896,0.01022288944866742,34.23402423339413,1.4091629419932544e-239
has_hotel_bedsYes,-1.4648100953587326,0.0827546227276984,-17.700643747463463,8.795300149990085e-69
high_end_pct_centered,0.0017679509140983856,6.433590720480536e-4,2.7480002861704174,0.00600964209565219
island_municipalityIsland,0.33401110930846956,0.23059288076582243,1.4484883843732932,0.14752031552788883
altitude_zone2,0.40320697266476585,0.12425465530953936,3.2450049590521104,0.0011793894965868052
altitude_zone3,0.17744000589321046,0.04195716887484145,4.229074807752528,2.3730887477585607e-5
altitude_zone4,0.588995780764958,0.06526168102953656,9.025139583799357,2.223453513686123e-19
altitude_zone5,0.8080144990320831,0.05231058854339205,15.446480751441529,4.752956893560602e-53
log_sea_coast_km,-0.17370445537635143,0.03148753612218158,-5.51660995964636,3.565619078562558e-8
log_lake_coast_km,0.12478691840309625,0.034684880931760614,3.5977323563140753,3.2297206531012193e-4
log_protected_area,-0.08811745801743084,0.013634845739322074,-6.462666296495413,1.0899383023209968e-10
log_museums,-0.13052561596070297,0.03291170807320108,-3.9659325997420862,7.375703872615814e-5
log_architecture,0.010710212597132493,0.020100432337157696,0.5328349369547427,0.5941628780543087
log_sports,0.3253355972982319,0.019377478820639955,16.789366682300287,3.488927397636177e-62
log_nature,0.22582680798956348,0.018716080757924622,12.065923999283108,3.135432700992992e-33
log_theme_parks,-0.0818039904594535,0.07832014129033273,-1.0444821614430717,0.2962944200308575
log_nightlife,0.10391520145150719,0.022404228021685745,4.63819602938001,3.5713287188747383e-6
log_transport_pts,0.04301623473125349,0.013350783443038042,3.2220007848067467,0.0012781649093037534
log_airport_dist,-0.31916943168158957,0.02778708993865641,-11.486248915816565,2.6935086179121514e-30
has_unescoYes,-0.45273490046364706,0.18384750304589753,-2.462556700324735,0.013816281508386654
