comparison,Model,df,AIC,logLik,Test,L.Ratio,p.value
SDM vs SAR,1,38,24023.18591177865,-11973.592955889326,,NA,NA
SDM vs SAR,2,24,25120.728501762063,-12536.364250881032,1 vs 2,1125.5425899834117,0
SDM vs SEM,1,38,24023.18591177865,-11973.592955889326,,NA,NA
SDM vs SEM,2,24,24125.20469072849,-12038.602345364245,1 vs 2,130.01877894983772,0
SDEM vs SEM,1,38,24072.1615444478,-11998.0807722239,,NA,NA
SDEM vs SEM,2,24,24125.20469072849,-12038.602345364245,1 vs 2,81.04314628068823,1.8114953981296367e-11
